input_text,target_text,slang_terms,category,difficulty_level
This is certified hard and i will not explain,"This is genuinely intensely, excellently and I will not explain further","hard, intensity",social_media,medium
wyd? lowkey feeling maldingg rn,"What are you doing? I am secretly feeling mad and balding, extremely frustrated right now","malding, frustration",texting,medium
I have been on my pressed behavior lately.,I have been on my bothered or upset behavior lately.,pressed,chat,medium
bruh she literally said clout and walked away,best friend she literally said it with online influence or popularity and left,"clout, influence",chat,medium
The devs really buffed the in my feels again ngl,The developers strengthened the experiencing strong emotions aspect again truly,"in my feels, emotion",gaming,hard
That carry was so caught in 4K i can't even ngl,That assistance was so caught doing something with clear evidence I cannot process it honestly,"caught in 4K, exposed",gaming,hard
Anyone else tilted by that in my feels move,Is anyone else frustrated by that experiencing strong emotions decision,"in my feels, emotion",gaming,hard
Yes because what we actually needed was more brainrot,"Yes, because what we truly needed was more mind absorbed in internet content","brainrot, obsession",sarcasm,medium
istg wait is that not slap?,"come on now wait, is that not considered is excellent, hits hard?","slap, quality",chat,medium
Bro that player just hit a ratio + L + no cap play,That player just executed a multiple criticisms at once play,"ratio, L, no cap, criticism",gaming,hard
bro wya its giving iconicc honestly hours,Where are you? it feels like sarcastically praising something bad hours,"sarcasm, irony",texting,medium
how it started: fine. how its going: no chilll,"How it began was fine but now it has become unable to relax, intense","no chill, intensity",meme,medium
genuinely the internet blew up because that was straight random aura.,genuinely the internet blew up because that was straight a mysterious personal energy.,random aura,chat,medium
bruh this lobby is built different it's giving ttyl,"hey this lobby is different, it is displaying talk to you later","ttyl, farewell",gaming,easy
The wth is real today folks,The feeling of what the heck is very real today,"wth, shock",social_media,medium
bro wya its giving sendingg me hourss,Where are you? it feels like making me laugh extremely hard hours,"sending me, laughter",texting,medium
That carry was so clout chaser i can't even,That assistance was so someone seeking fame or attention I cannot process it,"clout chaser, attention",gaming,medium
Frfr though that was understood the assignment no debate bestie,"Seriously though, that was did exactly what was needed without any debate and that is funny","understood the assignment, performance",texting,hard
Speedrunning the salty route tonight,"Attempting the bitter, upset, frustrated route tonight","salty, emotion",gaming,medium
They were being very big vibe about this whole thing.,They were being very atmosphere or feeling about this whole thing.,big vibe,chat,hard
Thank you so much for that big mad contribution,Thank you so much for that wonderful contribution of very angry,"big mad, anger",sarcasm,hard
Pulled an all-nighter and now i am bozo,"Stayed up all night and now I am experiencing fool, clown, idiot","bozo, insult",college,medium
Wow so living in my head rent free of you actually well done fr,"How very constantly thinking about something of you, truly well done without question","rent free, obsession",sarcasm,hard
Why is everyone so tilted lately fr,Why is everyone acting so frustrated and off your game these days I promise,"tilted, frustration",chat,medium
That is giving main character energy.,That is giving a very specific character feeling.,main character,chat,medium
Frfr though that was IRL speedrun no debate,"Seriously though, that was doing something extremely fast in real life without any debate","speedrun, speed",texting,medium
That carry was very omfg i cant evenn,That assistance was very extremely shocked i cannot process it,"omfg, shock",gaming,medium
Bro that player just hit a iconic genuinely play,That player just executed a sarcastically praising something bad play,"sarcasm, irony",gaming,medium
Me trying to explain gg to my parents,"Me attempting to explain good game, well done to my parents or older relatives","gg, acknowledgment",meme,easy
Did you catch how in my bag that was?,Did you catch how extremely in my bag that was?,so in my bag,chat,hard
istg ah yes the classic oh totally move we all expected,"quite openly yes, the classic sarcastically agreeing move we all anticipated","sarcasm, disagreement",sarcasm,medium
Everything about this moment is they cooked.,Everything about this moment is extremely they cooked.,so they cooked,chat,hard
"For those who don't know, this is fire","For those who are unfamiliar, this is excellent, amazing","fire, quality",social_media,medium
highkey that group project was shook and I did it alone,"very much that group project showed shocked, stunned and I completed it alone","shook, shock",college,medium
Why is people so cringe af lately?,Why is people so extremely embarrassing lately?,cringe af,chat,hard
His reaction was very tea i could not stop laughing.,His reaction was very gossip i could not stop laughing.,tea,chat,medium
Lmk if you see any big L energy irl rn,Let me know if you notice any major loss or failure energy in real life and that is funny,"big L, failure",texting,hard
Absolutely unhinged wth behavior honestly,Completely unhinged display of what the heck if I am honest,"wth, shock",social_media,medium
bro he is cringe af.,genuinely he is extremely embarrassing.,cringe af,chat,hard
Our strategy was complete mid but it worked,"Our strategy was complete mediocre, average, not impressive but somehow worked","mid, mediocrity",gaming,medium
the cafeteriaa was understood assignment todayy no cap on god,"The cafeteria served something did exactly what was needed today, no exaggeration truly","understood assignment, performance",college,medium
That comeback was so head empty honestly.,That comeback was so extremely thinking about nothing honestly.,so head empty,chat,hard
Not all heroes wear capes some are just rizz ngl,"Not all remarkable people wear capes, some simply embody charisma, charm, ability to attract honestly","rizz, charisma",meme,medium
That group project was tilted and I did it alone,That group project showed frustrated and off your game and I completed it alone,"tilted, frustration",college,medium
Not all heroes wear capes some are just iconic genuinely istg,"Not all remarkable people wear capes, some simply embody sarcastically praising something bad without question","sarcasm, irony",meme,medium
The cafeteria was touch grass moment today no cap,"The cafeteria served something a situation where someone is too online today, no exaggeration","touch grass, internet use",college,hard
That person has bussin today.,That person has extremely good energy today.,bussin,chat,medium
Gg that was a super helpful round ngl istg,"Well played, that was a sarcastically noting something unhelpful round honestly friend","sarcasm, irony",gaming,hard
bro he pulled a no thoughts head empty clutch at the last second,"okay so he performed a not thinking about anything, relaxed move at the last second","no thoughts head empty, mindless",gaming,hard
Oh absolutely love how lowkey this all is,"I absolutely love how secretly, kind of, quietly all of this is","lowkey, subtle",sarcasm,medium
ngl we are so I can't right now in this match,"honestly we are performing at the level of I can't handle this, too funny or overwhelming in this match","I can't, overwhelmed",gaming,medium
dude live footage of me being essay cooked me,quite openly live footage of me embodying the essay exhausted me,"cooked, exhaustion",social_media,hard
Chronic vibe check hours who else,"Chronic testing if someone matches the energy hours, who can relate","vibe check, assessment",social_media,medium
That whole situation was pure goated ngl,That whole situation was pure extremely being the greatest and that is funny,so goated,chat,hard
Bro wya it's giving nerfed hours fr,"Where are you? it feels like weakened, made less powerful hours I swear","nerfed, weakened",texting,medium
Wth why is everything so W rizz today,What the heck why is everything so excellent charisma and charm today,"W rizz, charisma",texting,medium
The way she handled that was big vibe rn,The way she handled that was atmosphere or feeling and that is funny,big vibe,chat,hard
Y'all he'ss being very big yikes todayy its unreal,Okay very he is behaving in an extremely that's very awkward or bad way today,"big yikes, disapproval",chat,hard
highkey pulled an all-nighter and now i am vibe check,not to overthink this but stayed up all night and now I am experiencing testing if someone matches the energy,"vibe check, assessment",college,medium
the cafeteriaa was touch grass moment today no cap,"The cafeteria served something a situation where someone is too online today, no exaggeration","touch grass, internet use",college,hard
My sleep schedule is in its parasocial era,My sleep routine is in a one-sided emotional connection to a celebrity phase,"parasocial, connection",college,medium
We don't talk enough about rip,"We do not discuss that's over, too bad nearly enough","rip, disappointment",social_media,medium
Ok but that's giving major bozo energy,"That situation is giving off major fool, clown, idiot energy","bozo, insult",chat,medium
That respawn spot is era honestly periodt,That respawn location is genuinely a personal phase or time period and that is funny,"era, phase",gaming,medium
Ah yes the classic moots move we all expected ong,"Yes, the classic mutual followers move we all anticipated and that is funny","moots, mutuals",sarcasm,medium
That drop had everyone acting cook no cap,That drop had everyone acting do something well right now,cook,chat,medium
Plot twist: it was professor cooked all along,Unexpected reveal: it was the professor was excellent the entire time,"cooked, excellence",social_media,medium
Bro that midterm ate and left no crumbs i'm lowk fr,"That midterm absolutely dominated and now I am lowkey, secretly I promise","lowk, subtle",college,medium
Me trying to explain slay to my parents,Me attempting to explain doing something excellently to my parents or older relatives,"slay, performance",meme,medium
The internet blew up because that was straight ratio.,The internet blew up because that was straight extremely getting more replies than likes.,so ratio,chat,hard
That fit is so it's giving.,That outfit is so it has the vibe or energy of something.,so it's giving,chat,hard
the fyp understood the assignment today,the recommendation algorithm showed me exactly what I needed,understood the assignment,social_media,medium
That whole situation was pure head empty periodt,That whole situation was pure head empty truly,head empty,chat,medium
"not to be that person but society: be normal. me, built different: facts","hold on society says act normally and I, being different, display that is true, absolutely correct","facts, agreement",meme,medium
we dont talk enough about stan bestie,We do not discuss dedicated fan who supports intensely nearly enough friend,"stan, fan",social_media,medium
You can't be caught in 4K about this rn,You cannot be so caught doing something with clear evidence about this right now,"caught in 4K, exposed",chat,hard
wait ngl rn im fully in my bricked phase,"truly honestly right now I am fully in my broken, not working phase","bricked, broken",texting,medium
"ngl that fit was actually fam, no cap.","very much that outfit was actually close friend group, no lies.",fam,chat,medium
The griefer was on full cap mode,"That disruptive player was operating in full lie, untrue statement mode","cap, dishonesty",gaming,medium
My whole situationship is just flex fr,My entire undefined relationship is just showing off achievements I promise,"flex, boasting",chat,medium
sis the pipeline from normal to spawn kill is short,friend the path from normal behavior to attacking immediately after respawn is surprisingly short,"spawn kill, unfair play",meme,medium
Hmu when you're done being ate and left no crumbs ok,Contact me when you are done experiencing performed flawlessly,"ate, perfection",texting,hard
Jk but also not jk because it's oomfie,I am joking but also not joking because it is one of my followers,"oomfie, follower",texting,medium
fr tho dropping the class is my sussy era honestly,everyone withdrawing from this course is my very suspicious phase honestly,"sussy, suspicion",college,medium
He is mid af.,He is extremely average or mediocre.,mid af,chat,hard
dead ass walked into the exam and went full understood the vibe,quite openly entered the exam room and immediately displayed matched the energy perfectly,"vibe, understanding",college,hard
That fit is so bussin.,That outfit is so extremely good.,so bussin,chat,hard
dude i got touch grass moment by that last boss,very much i was defeated by that boss in a a situation where someone is too online way,"touch grass, internet use",gaming,hard
Why is everyone so go outside lately,Why is everyone acting so leave the internet and live life these days,"go outside, advice",chat,medium
Pulled an all-nighter and now i am vibe check,Stayed up all night and now I am experiencing testing if someone matches the energy,"vibe check, assessment",college,medium
I am feeling really villain era af right now.,I am feeling really extremely villain era right now.,villain era af,chat,hard
lowkey nvm it's giving sure jan again,"truly never mind, it is showing sarcastically disbelieving someone energy again","sure jan, disbelief",texting,medium
not to be that person but i went into full hot take af mode and had no regrets.,for real though i went into full extremely hot take mode and had no regrets.,hot take af,chat,hard
Is it just me or is this giving pick me af energy ngl,Is it just me or is this giving extremely pick me energy? friend,pick me af,chat,hard
Doing a lmaoooo challenge run tonight wish me luck on god,"Attempting a extremely funny challenge run tonight, wish me luck truly","lmaoooo, laughter",gaming,medium
Five stars for the omw rating truly special,"Five stars for the on my way, truly a special experience","omw, travel",sarcasm,easy
Current status: absolute periodt,"Current mood: complete absolutely, end of discussion","periodt, finality",social_media,medium
College budget be like: L eating habits fr,"College finances lead to very loss, failure, bad outcome eating choices I promise","L, failure",college,medium
thatt is giving l energy on god,That is giving a very specific L feeling and that is funny,L,chat,medium
His reaction was so bet I could not stop laughing.,His reaction was so okay or agreement I could not stop laughing.,bet,chat,medium
Wow so slay of you actually well done,"How very doing something excellently of you, truly well done","slay, performance",sarcasm,medium
Nah fr that was the best meal ever.,No seriously that was the best meal ever.,nah fr,chat,medium
Brain: sleep. also brain: think about tbh rn,Brain says sleep but also tells me to think about to be honest without question,"tbh, honesty",meme,easy
bestie they weree being so af about this whole thing.,hold on they were being so as f*** about this whole thing.,af,chat,hard
Not all heroes wear capes some are just ratio + L + no cap,"Not all remarkable people wear capes, some simply embody multiple criticisms at once","ratio, L, no cap, criticism",meme,hard
Absolutely unhinged virgin vs chad behavior honestly,Completely unhinged display of weak person versus confident person if I am honest,"virgin, chad, comparison",social_media,hard
Bro that hits different was actually wild istg,Honestly that feels unique or special was really surprising I promise,"hits different, uniqueness",chat,medium
Wow so god tier of you really well done,"How very of the highest quality of you, truly well done","god tier, excellence",sarcasm,medium
Yes because what we actually needed was more hot take,"Yes, because what we truly needed was more controversial opinion","hot take, opinion",sarcasm,medium
bruh not me being parasocial about this,quite openly i find myself being very one-sided emotional connection to a celebrity about all this,"parasocial, connection",chat,medium
Is it just me or is this giving understood assignment energy?,"Is it just me or is this giving got it, clear energy?",understood assignment,chat,medium
