id,type,direction,strat,input,reference,slang_term,meaning,base_output,tuned_output,base_rater1,base_rater2,tuned_rater1,tuned_rater2
e2e_006,translate,to_english,grok_heldout,You're tweaking if you cancel over one late reply.,You're overreacting if you cancel over one late reply.,Tweaking,overreacting,Tweaking refers to making minor adjustments; cancelling due to a single late response is excessive and unnecessary adjustment.,Tweaking refers to making minor adjustments; cancelling due to a single late response is excessive and unnecessary adjustment.,,,,
e2s_006,translate,to_slang,grok_heldout,You're overreacting if you cancel over one late reply.,You're tweaking if you cancel over one late reply.,Tweaking,overreacting,Don't freak out 'bout a single day's delay.,Don't freak out 'bout a single day's delay.,,,,
e2e_007,translate,to_english,grok_heldout,"I'm heading out, TNT fam.","I'm heading out, talk next time fam.",TNT,til next time,"I am leaving, friends of TNT.","I am leaving, friends of TNT.",,,,
e2s_007,translate,to_slang,grok_heldout,"I'm heading out, talk next time fam.","I'm heading out, TNT fam.",TNT,til next time,"Later, G!","Later, G!",,,,
e2e_008,translate,to_english,grok_heldout,WRU@? The movie starts in ten.,Where are you? The movie starts in ten.,WRU@,where are you,What's up is it time yet for you to start watching a film that begins after waiting ten minutes?,What's up is it time yet for you to start watching a film that begins after waiting ten minutes?,,,,
e2s_008,translate,to_slang,grok_heldout,Where are you? The movie starts in ten.,WRU@? The movie starts in ten.,WRU@,where are you,"You're ghosting me rn, where r u at??","You're ghosting me rn, where r u at??",,,,
e2e_009,translate,to_english,grok_heldout,My LTOD froze again right before I hit save.,My dying laptop froze again right before I hit save.,LTOD,dying laptop,My addiction software has frozen and will not respond until it is restarted or saved manually.,My addiction software has frozen and will not respond until it is restarted or saved manually.,,,,
e2s_009,translate,to_slang,grok_heldout,My dying laptop froze again right before I hit save.,My LTOD froze again right before I hit save.,LTOD,dying laptop,It literally just died on me when i was about to finish saving my work.,It literally just died on me when i was about to finish saving my work.,,,,
e2e_010,translate,to_english,grok_heldout,"These fries are dank, I could eat a whole bag.","These fries are excellent, I could eat a whole bag.",Dank,really high quality,I really enjoy these potatoes and would gladly finish an entire container of them.,I really enjoy these potatoes and would gladly finish an entire container of them.,,,,
e2s_010,translate,to_slang,grok_heldout,"These fries are excellent, I could eat a whole bag.","These fries are dank, I could eat a whole bag.",Dank,really high quality,They're straight fire and I'm low-key obsessed with 'em.,They're straight fire and I'm low-key obsessed with 'em.,,,,
e2e_011,translate,to_english,grok_heldout,"Don't trust that blog, it's just a content farm.","Don't trust that blog, it only posts low-quality stuff.",Content Farm,low quality content,Don't rely on that blog; it is simply an operation designed solely for generating and selling content.,Don't rely on that blog; it is simply an operation designed solely for generating and selling content.,,,,
e2s_011,translate,to_slang,grok_heldout,"Don't trust that blog, it only posts low-quality stuff.","Don't trust that blog, it's just a content farm.",Content Farm,low quality content,It's trash and they just post garbage content all day.,It's trash and they just post garbage content all day.,,,,
e2e_012,translate,to_english,grok_heldout,I've been raiding in WOW all night with the guild.,I've been raiding in World of Warcraft all night with the group.,WOW,World of Warcraft,We have been looting together as a group of players throughout the entire night.,We have been looting together as a group of players throughout the entire night.,,,,
e2s_012,translate,to_slang,grok_heldout,I've been raiding in World of Warcraft all night with the group.,I've been raiding in WOW all night with the guild.,WOW,World of Warcraft,We were low-key camping WoW 'til dawn with my squad.,We were low-key camping WoW 'til dawn with my squad.,,,,
e2e_013,translate,to_english,grok_heldout,My character is ready for the next EVO stage.,My character is ready for the next evolution stage.,EVO,evolution,I am prepared for my upcoming match at Evolution Championship Series (Evo).,I am prepared for my upcoming match at Evolution Championship Series (Evo).,,,,
e2s_013,translate,to_slang,grok_heldout,My character is ready for the next evolution stage.,My character is ready for the next EVO stage.,EVO,evolution,I'm low-key done with this level and I'm hyped for what's coming next.,I'm low-key done with this level and I'm hyped for what's coming next.,,,,
e2e_014,translate,to_english,grok_heldout,He needs to cope after that tough defeat in finals.,He needs to deal with that tough loss in the finals.,Cope,deal with a loss,He must come to terms with his loss in the final game.,He must come to terms with his loss in the final game.,,,,
e2s_014,translate,to_slang,grok_heldout,He needs to deal with that tough loss in the finals.,He needs to cope after that tough defeat in finals.,Cope,deal with a loss,Bruh got a W to lose from last season's playoffs.,Bruh got a lot of ground to cover after gettin roasted by them finals.,,,,
e2e_015,translate,to_english,grok_heldout,The app's viral loop has everyone inviting friends nonstop.,The app's sharing cycle has everyone inviting friends nonstop.,Viral Loop,repeat sharing cycle,The application is creating a continuous cycle of people sharing it with their entire friend lists without interruption.,The application is creating a continuous cycle of people sharing it with their entire friend lists without interruption.,,,,
e2s_015,translate,to_slang,grok_heldout,The app's sharing cycle has everyone inviting friends nonstop.,The app's viral loop has everyone inviting friends nonstop.,Viral Loop,repeat sharing cycle,It's lowkey blowing up with people constantly adding new friends on it.,It's lowkey blowing up with people constantly adding new friends on it.,,,,
e2e_016,translate,to_english,grok_heldout,She was big mad after they canceled the show.,She was really furious after they canceled the show.,Big mad,extremely angry,She became extremely angry when her show was cancelled.,She became extremely angry when her show was cancelled.,,,,
e2s_016,translate,to_slang,grok_heldout,She was really furious after they canceled the show.,She was big mad after they canceled the show.,Big mad,extremely angry,Sis lost it when they cancelled that show.,Sis lost it when that concert got cancelled.,,,,
e2e_017,translate,to_english,grok_heldout,"BASOR, I finally finished that huge project.","What a relief, I finally finished that huge project.",BASOR,sigh of relief,I have completed a large and complex task.,I have completed a large and complex task.,,,,
e2s_017,translate,to_slang,grok_heldout,"What a relief, I finally finished that huge project.","BASOR, I finally finished that huge project.",BASOR,sigh of relief,I'm low-key done with it and can breathe again now.,I'm low-key done with it and can breathe again now.,,,,
e2e_018,translate,to_english,grok_heldout,That hype playlist gives me the energy boost I need.,That hype playlist gives me the motivation I need.,Energy Boost,extra motivation,The music list provides a much-needed surge of enthusiasm for me.,The music list provides a much-needed surge of enthusiasm for me.,,,,
e2s_018,translate,to_slang,grok_heldout,That hype playlist gives me the motivation I need.,That hype playlist gives me the energy boost I need.,Energy Boost,extra motivation,It's giving me that fire energy right now.,It's giving me that fire energy right now.,,,,
e2e_019,translate,to_english,grok_heldout,"That last second shot was goated, pure magic.","That last second shot was the greatest, pure magic.",Goated,greatest ever,The final-second shot was incredible and utterly magical.,The final-second shot was incredible and utterly magical.,,,,
e2s_019,translate,to_slang,grok_heldout,"That last second shot was the greatest, pure magic.","That last second shot was goated, pure magic.",Goated,greatest ever,It was straight fire and I'm dead.,It was straight fire and I'm dead.,,,,
e2e_020,translate,to_english,grok_heldout,That video of the dog sliding had me ROTFL for like ten minutes.,That video of the dog sliding had me laughing so hard for like ten minutes.,ROTFL,laughing really hard,The funny video of a dog slipping made me laugh out loud for about ten minutes.,The funny video of a dog slipping made me laugh out loud for about ten minutes.,,,,
e2s_020,translate,to_slang,grok_heldout,That video of the dog sliding had me laughing so hard for like ten minutes.,That video of the dog sliding had me ROTFL for like ten minutes.,ROTFL,laughing really hard,I'm dead after watching that vid of a pup slidin' lol it killed me for at least 10 mins straight,I'm dead after watching that vid of a pup slidin' lol it killed me for at least 10 mins straight,,,,
e2e_021,translate,to_english,grok_heldout,Just take the golden path and tell them the truth now.,Just go with the best option and tell them the truth now.,Golden Path,best option,Take the easy way out by telling the truth immediately.,Take the easy way out by telling the truth immediately.,,,,
e2s_021,translate,to_slang,grok_heldout,Just go with the best option and tell them the truth now.,Just take the golden path and tell them the truth now.,Golden Path,best option,Lowkey just be honest about what's good for you.,Lowkey just be honest about what's good for you.,,,,
e2e_022,translate,to_english,grok_heldout,"Her new track is fire af, I've had it on repeat all day.","Her new track is really awesome, I've had it on repeat all day.",fire af,really awesome,She has released a very good song that I have been listening to nonstop today.,She has released a very good song that I have been listening to nonstop today.,,,,
e2s_022,translate,to_slang,grok_heldout,"Her new track is really awesome, I've had it on repeat all day.","Her new track is fire af, I've had it on repeat all day.",fire af,really awesome,"She's low-key fire with her latest single and I'm obsessed, been listening nonstop today.","She's low-key fire with her latest single and I'm obsessed, been listening nonstop today.",,,,
e2e_023,translate,to_english,grok_heldout,"This cafe is giving big vibe, I could hang here all afternoon.","This cafe has such great energy, I could hang here all afternoon.",big vibe,great energy,The café has a strong atmosphere that makes me want to stay there for an extended period of time.,The café has a strong atmosphere that makes me want to stay there for an extended period of time.,,,,
e2s_023,translate,to_slang,grok_heldout,"This cafe has such great energy, I could hang here all afternoon.","This cafe is giving big vibe, I could hang here all afternoon.",big vibe,great energy,It's hella lit in there and I'm low-key obsessed with staying for a while.,It's hella lit in there and I'm low-key obsessed with staying for a while.,,,,
e2e_024,translate,to_english,grok_heldout,After the hike I just PTFO the second I hit the bed.,After the hike I just passed out the second I hit the bed.,PTFO,pass out hard,"As soon as I got into bed after my hike, I immediately fell asleep.","As soon as I got into bed after my hike, I immediately fell asleep.",,,,
e2s_024,translate,to_slang,grok_heldout,After the hike I just passed out the second I hit the bed.,After the hike I just PTFO the second I hit the bed.,PTFO,pass out hard,I was dead as soon as my head touched that pillow after hiking all day.,I was dead as soon as my head touched that pillow after hiking all day.,,,,
e2e_025,translate,to_english,grok_heldout,"Alright I'm hopping off, CYO in the group chat later.","Alright I'm logging off, see you online in the group chat later.",CYO,see you online,I am leaving; you can decide what happens next in our conversation there.,I am leaving; you can decide what happens next in our conversation there.,,,,
e2s_025,translate,to_slang,grok_heldout,"Alright I'm logging off, see you online in the group chat later.","Alright I'm hopping off, CYO in the group chat later.",CYO,see you online,"Later, bruh!","Later, bruh!",,,,
e2e_026,translate,to_english,grok_heldout,"My body needs a rest day, so no lifting tomorrow.","My body needs a day off, so no lifting tomorrow.",Rest Day,no workout day,I need a break from exercising today.,I need a break from exercising today.,,,,
e2s_026,translate,to_slang,grok_heldout,"My body needs a day off, so no lifting tomorrow.","My body needs a rest day, so no lifting tomorrow.",Rest Day,no workout day,"I'm low-key exhausted and need a chill day, can we skip leg day?","I'm low-key exhausted and need a chill day, can we skip leg day?",,,,
e2e_027,translate,to_english,grok_heldout,Yeah that jacket was pure impulse buy but it looks sick.,Yeah that jacket was a total random purchase but it looks great.,Impulse Buy,random purchase,"That jacket is an impulsive purchase, and I think you really like it.","That jacket is an impulsive purchase, and I think you really like it.",,,,
e2s_027,translate,to_slang,grok_heldout,Yeah that jacket was a total random purchase but it looks great.,Yeah that jacket was pure impulse buy but it looks sick.,Impulse Buy,random purchase,I'm low-key obsessed with this jacket and I have zero regrets about buying it.,I'm low-key obsessed with this jacket and I have zero regrets about buying it.,,,,
e2e_028,translate,to_english,grok_heldout,"Give me a sec, I'm OTP with my sister right now.","Give me a sec, I'm on the phone with my sister right now.",OTP,on the phone,I need a moment; I am extremely close and totally passionate about being together with my younger sibling at this instant.,I need a moment; I am extremely close and totally passionate about being together with my younger sibling at this instant.,,,,
e2s_028,translate,to_slang,grok_heldout,"Give me a sec, I'm on the phone with my sister right now.","Give me a sec, I'm OTP with my sister right now.",OTP,on the phone,"I've got a minute, sis is talking to me rn.","I've got a minute, sis is talking to me rn.",,,,
e2e_029,translate,to_english,grok_heldout,He is so unserious for thinking that plan would work.,He is being ridiculous for thinking that plan would work.,Unserious,not to be taken seriously,He is extremely unserious about believing a particular strategy will succeed.,He is extremely unserious about believing a particular strategy will succeed.,,,,
e2s_029,translate,to_slang,grok_heldout,He is being ridiculous for thinking that plan would work.,He is so unserious for thinking that plan would work.,Unserious,not to be taken seriously,That's a lowkey crazy idea he came up with.,That's a lowkey crazy idea he came up with.,,,,
un_000,unanswerable,unanswerable,unanswerable,asdfghjkl qwerty zxcvbnm,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),Alphabetical order of keys on a standard keyboard layout.,Alphabetical order of keys on a standard keyboard layout.,,,,
un_001,unanswerable,unanswerable,unanswerable,########## $$$$$ %%%%,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),A mathematical expression indicating a large number or an error in input formatting.,A mathematical expression indicating a large number or an error in input formatting.,,,,
un_002,unanswerable,unanswerable,unanswerable,42 42 42 42 42,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),Forty-two repeated five times.,Forty-two repeated five times.,,,,
un_003,unanswerable,unanswerable,unanswerable,zxqvwk bnmpld,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),"The phrase ""zxq vwknbmdl"" translates to 'I love you'.","The phrase ""zxq vwknbmdl"" translates to 'I love you'.",,,,
un_004,unanswerable,unanswerable,unanswerable,lorem ipsum dolor sit amet,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),"A phrase commonly used as filler text in design and publishing is ""There are many variations of passages that can be used instead,"" but a more common one for this prompt would simply be: ""There are many varieties of passage.""","A phrase commonly used as filler text in design and publishing is ""There are many variations of passages that can be used instead,"" but for your request I will use a more common one: ""There are many varieties of passage.""",,,,
un_005,unanswerable,unanswerable,unanswerable,aaaaaaaaaaaaaaaa,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),It appears that you have entered a sequence of 'a's without any actual text or language to translate.,It appears that you have entered a sequence of 'a's without any actual text or language to translate.,,,,
un_006,unanswerable,unanswerable,unanswerable,?!?!?! ...... ?!?!,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),What's going on?,What's going on?,,,,
un_007,unanswerable,unanswerable,unanswerable,qwertyuiop asdfghjkl,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),The sequence of letters appears to be a common keyboard layout for typing in uppercase and lowercase letters.,The sequence of letters appears to be a common keyboard layout for typing in uppercase and lowercase letters.,,,,
un_008,unanswerable,unanswerable,unanswerable,blorptangle frimbulate,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),A type of fern with delicate fronds and a tangled appearance.,A type of fern with delicate fronds and a tangled appearance.,,,,
un_009,unanswerable,unanswerable,unanswerable,xkcd plmokn wsxedc,I'm not sure how to translate that — the input isn't clear to me.,,(unanswerable — the model should abstain),"The x's are vowels and sometimes y is used as a vowel in some words; therefore it translates to ""the sky is grey"".","The x's are vowels and sometimes y is used as a vowel in some words; therefore it translates to ""the sky is grey"".",,,,
