slang_term,meaning,slang_sentence,normal_sentence,source
ATM,right now,"Can't hop on the call ATM, stuck in traffic.","Can't hop on the call right now, stuck in traffic.",grok
IAE,in any event,"IAE, we can still hit the mall after work.","Anyway, we can still go to the mall after work.",grok
Clickbait,misleading title,"That whole thumbnail was pure clickbait, not even the real story.","That whole thumbnail was totally misleading, not even the real story.",grok
Deep Breath,calm down,"Deep breath, dude, the test scores aren't out yet.","Calm down, man, the test scores aren't even out yet.",grok
Cracked,extremely good,"Bro she's cracked at design, finished the whole layout overnight.","Bro she's insanely good at design, finished the whole layout overnight.",grok
BDAY,birthday,We're planning something chill for his BDAY this weekend.,We're planning something low-key for his birthday this weekend.,grok
AASHTA,as always Sheldon has the answer,"AASHTA, he already knew how to fix the code.","Typical smart-guy move, he already knew how to fix the code.",grok
BF,boyfriend,My BF is picking me up after class so we can grab dinner.,My boyfriend is picking me up after class so we can grab dinner.,grok
Rebrand,change image,She's trying to rebrand as a wellness creator these days.,She's trying to switch up her whole vibe to wellness content these days.,grok
XPOST,cross-post,I'm gonna XPOST this pic to IG and Twitter before it gets buried.,I'm going to share this pic on Instagram and Twitter before it disappears.,grok
Love Bombing,too much affection,Dude's love bombing her with constant texts and flowers after one hangout.,The guy's overwhelming her with constant texts and flowers after one hangout.,grok
Soft Reboot,small restart,I need a soft reboot on this project before it totally falls apart.,I need a light restart on this project before it completely falls apart.,grok
BEG,big evil grin,She flashed a BEG right before she spilled the tea on everyone.,She flashed a big evil grin right before she spilled the gossip on everyone.,grok
Main Squeeze,partner,Gonna pick up my main squeeze and head to that new taco spot.,Gonna pick up my partner and head to that new taco place.,grok
ahh,ass replacement,That was a dumb ahh decision and now we're stuck here.,That was a dumb decision and now we're stuck here.,grok
Stan Behavior,extreme fan,His stan behavior for that streamer is getting kinda intense.,His extreme fandom for that streamer is getting a bit intense.,grok
YGTBKM,you've got to be kidding me,"YGTBKM, they raised the rent again with zero warning?","You've got to be kidding me, they raised the rent again with no warning?",grok
AFAIUI,as far as I understand,"AFAIUI the deadline got pushed to Friday, so we good.","From what I get, the deadline got moved to Friday, so we're fine.",grok
PUKS,pick up the kids,"Can't stay for the whole game, gotta PUKS at 5.","Can't stay for the whole game, I have to grab the kids at 5.",grok
Heather,admired main-character type,"Ugh, of course she's out here being a total Heather in that dress.","Ugh, of course she's walking around looking like the star of the movie in that dress.",grok
IUSS,if you say so,"IUSS, but I still think we should double-check the numbers.","Alright if that's what you think, but I still think we should double-check the numbers.",grok
2MI,too much information,"Okay bro 2MI, please stop describing your date.","Okay dude that's way too much, please stop describing your date.",grok
Breadcumbing,leading someone on without commitment,He's just breadcumbing her with random heart emojis and no actual plans.,He's just stringing her along with random heart emojis and never making real plans.,grok
Center Yourself,focus inward,"Hey, take five minutes and center yourself before the interview.","Hey, take five minutes and get focused on yourself before the interview.",grok
Wildcard,unpredictable person,"Bringing Tyler is risky, that guy's a total wildcard.","Bringing Tyler is risky, you never know what that guy will do.",grok
Simp,overly eager for romance,Dude's been simping hard for her all semester and she still ghosts him.,That guy has been trying way too hard for her attention all semester and she still ignores him.,grok
NVM,never mind,"NVM, I already sorted the whole group project mess.","Never mind, I already fixed the whole group project problem.",grok
LWOS,laughing without smiling,That deadpan delivery had me LWOS in the middle of class.,That straight-faced joke made me laugh on the inside during class.,grok
bet af,whiny socially inept person,Stop being such a bet af and just answer the group chat already.,Stop being such a constant complainer and just reply in the group chat.,grok
Bounce,to leave,"This place is empty, I'm about to bounce.","Nobody's here, I'm about to head out.",grok
SC,stay cool,"SC out there, text me when you land.","Stay chill out there, message me when you get there.",grok
Self Roast,make fun of yourself,I dropped a self roast about my cooking skills in the story.,I posted a joke roasting my own cooking skills on my story.,grok
NFT Art,digital art token,Can't believe I dropped cash on that NFT Art last night.,I still can't believe I spent money on that digital art token last night.,grok
Trend Cycle,trends repeating,"Ugh this trend cycle is so predictable, baggy jeans are suddenly cool again.","These trends keep looping, baggy jeans are popular all over again.",grok
AAMOF,as a matter of fact,AAMOF I already told her we couldn't make it tonight.,Actually I already told her we couldn't come tonight.,grok
DEGT,dear daughter,"DEGT, text me when you get to the party so I know you're safe.","Sweetheart, text me when you arrive at the party so I know you're okay.",grok
Reset Day,fresh start,"Sunday is my reset day—laundry, meal prep, and zero social media.","Sunday is when I start fresh—laundry, meal prep, and no scrolling.",grok
Creator Economy,online earning,She's fully in the creator economy now and making more than her old job.,She's making her living online and earning more than at her previous job.,grok
YG,young gentleman,That YG at the register was super chill and fixed my order no problem.,That young guy at the counter was really nice and fixed my order easily.,grok
Wipe Out,total failure,The group project was a full wipe out—nobody even read the brief.,The group project completely flopped—nobody even looked at the instructions.,grok
Stock Watcher,market follower,My roommate is a hardcore stock watcher and refreshes his apps every five minutes.,My roommate constantly tracks the market and checks his apps every few minutes.,grok
IDK,I don't know,IDK if I can make it to the hangout later.,I don't know if I can make it to the hangout later.,grok
so ghosted,suddenly cut off contact,"My stoner buddy so ghosted me after that one sesh, zero replies since.","My stoner buddy completely stopped talking to me after that one hangout, no replies since.",grok
EVO,Evolution tournament,Who else is locked in for EVO this summer?,Who else is planning to go to the Evolution tournament this summer?,grok
Filter Bubble,limited viewpoint,Bro you live in a filter bubble if that's all you see online.,Man you only get one narrow view if that's all you follow online.,grok
DM,doesn't matter,"DM what the weather's like, we're still going.","Doesn't matter what the weather's like, we're still going.",grok
Mukbang,eating show,I stayed up way too late watching that mukbang last night.,I stayed up way too late watching that eating show last night.,grok
Snatched,looking really good,"Your whole fit is snatched today, not gonna lie.","Your whole outfit looks really good today, seriously.",grok
81,Hells Angels,"Don't park there, that's where the 81 crew hangs.","Don't park there, that's where the Hells Angels crew hangs.",grok
Pressed,angry or annoyed,Why you so pressed over a two-minute delay?,Why are you getting so mad about a two-minute delay?,grok
EAK,eating at keyboard,"Sorry for the greasy keys, I'm EAK while I finish this report.","Sorry about the messy keyboard, I'm eating while I wrap up this report.",grok
Echo Chamber,same opinions only,My feed turned into a total echo chamber after I muted half the accounts.,My feed only shows me the same views since I muted so many people.,grok
TFTF,thanks for the follow,"TFTF, glad you're here checking out my stuff!","Thanks for following, happy you're checking out my page!",grok
MNC,nature calls,"Hold that thought, MNC, be right back.","Hang on a second, I need the bathroom, back in a minute.",grok
F4F,follow for follow,Drop your handle if you're down for F4F and mutual support.,Leave your username if you want to follow each other and help each other grow.,grok
Growth Arc,self improvement,"This year I'm deep in my growth arc, reading more and cutting the drama.","This year I'm focused on getting better, reading more and dropping the drama.",grok
Diamond Hands,hold investments,Market's wild but I'm staying diamond hands on these shares.,The market's crazy but I'm not selling any of these shares.,grok
Sturdy,do the spin-hop dance,Everyone got sturdy when that song came on at the party.,Everyone started doing that spinning and hopping dance when the song played at the party.,grok
Key Insight,important takeaway,The key insight from the podcast really changed my mind.,The main point from the podcast really shifted how I think.,grok
Self Care Day,personal rest day,"I'm doing a self care day tomorrow, just vibes and no plans.","I'm taking tomorrow for myself, just relaxing with nothing scheduled.",grok
YT,YouTube,Hit me up if you find the link on YT.,Let me know if you find the link on YouTube.,grok
Work Smart,efficient work,I'd rather work smart and finish early than grind forever.,I'd rather do things efficiently and wrap up soon than keep working endlessly.,grok
NRN,no reply needed,"Here's the address, NRN if you're free.","Here's the address, no need to answer if you're free.",grok
Viral,spread super fast,That meme went viral and now everyone's using it.,That meme blew up and now everybody's sharing it.,grok
S4L,spam for life,"Bro is S4L, he posts like 50 messages a day.","That guy never stops spamming, he sends like 50 messages every day.",grok
DOE,a woman,That DOE at the cafe kept smiling at me all morning.,That woman at the cafe kept smiling at me all morning.,grok
Food Trend,popular recipe,I made that food trend for dinner and it actually slapped.,I cooked that viral recipe for dinner and it turned out great.,grok
Soft Launch Life,slow start,"I'm on a soft launch life with the new apartment, no big parties yet.",I'm taking it slow with the new apartment and skipping big hangouts for now.,grok
Non Canon,unofficial story,That whole spin-off is non canon so don't stress the plot holes.,That whole spin-off isn't official so the plot holes don't really matter.,grok
AQAP,as quiet and fast as possible,Let's dip AQAP before my parents get home.,Let's get out of here quietly and fast before my parents show up.,grok
IDTS,I don't think so,You really think they'll refund us? IDTS.,You really think they'll give us our money back? I doubt it.,grok
BSTS,better safe than sorry,"Pack an extra charger, BSTS.",Bring an extra charger just in case.,grok
Clapped,totally wrecked,Our squad got clapped in the first round of the tourney.,Our team got completely destroyed in the first round of the tournament.,grok
IMAO,in my arrogant opinion,IMAO that new coffee shop's overpriced and the vibes are off.,"If you ask me, that new coffee shop is overpriced and the atmosphere is weird.",grok
JIC,just in case,I'll pack an extra charger JIC my phone dies mid-trip.,I'll pack an extra charger just in case my phone dies during the trip.,grok
ROFLOL,laughing hysterically,Bro the way he tripped had me ROFLOL all afternoon.,Man the way he tripped had me laughing so hard all afternoon.,grok
BAFO,best and final offer,I told them this is my BAFO so they better decide quick.,I told them this is my best and final offer so they better decide soon.,grok
Burnout,exhausted from overwork,I'm straight up dealing with burnout after pulling three all-nighters.,I'm completely wiped out after staying up late three nights in a row.,grok
Drama Queen,overly dramatic person,She's such a drama queen for making a huge deal about that text.,She's so overdramatic for blowing that text way out of proportion.,grok
Blue Pill,comfortable lie,Sometimes it's easier to just take the blue pill and ignore the real issues.,Sometimes it's easier to just accept the comfortable lie and ignore the real issues.,grok
LinkedIn Core,professional aesthetic,His whole aesthetic is LinkedIn Core with the blazers and motivational quotes.,His whole look is super corporate with the blazers and motivational quotes.,grok
PAW,parents are watching,PAW so keep the chat clean until they leave the room.,Parents are watching so keep the chat clean until they leave the room.,grok
OOTO,out of the office,"I'm OOTO till Thursday, so ping me after that.","I'm out of the office until Thursday, so message me after that.",grok
Red Pill,harsh truth,She dropped the red pill on how the industry actually pays freelancers.,She told me the harsh truth about how the industry actually pays freelancers.,grok
Main character,charismatic center of attention,Bro walked in with full main character energy and the whole room turned.,He walked in all charismatic and the whole room noticed him.,grok
PLS,please,"Can you send the notes from class PLS, I missed everything.","Can you send the notes from class please, I missed everything.",grok
Soft Block,silent removal,I soft blocked her so she wouldn't see me leave the group chat.,I quietly removed her so she wouldn't notice me leaving the group chat.,grok
UGTBK,you've got to be kidding,UGTBK they actually raised the rent again this month?,You've got to be kidding they actually raised the rent again this month?,grok
Messy,creates drama,"That friend group is messy, they start drama over every little thing.","That friend group creates drama, they fight over every little thing.",grok
DILLIGAF,I don't care,He kept texting me about his drama and I just replied DILLIGAF.,He kept texting me about his drama and I just said I don't care.,grok
ELI5,explain simply,Can you ELI5 how taxes actually work so I stop panicking?,Can you break down how taxes work in the simplest way so I stop panicking?,grok
Upgrade Path,future plan,I've been mapping out my upgrade path for the next two years at this company.,I've been figuring out my future plans for the next two years at this company.,grok
WYWH,wish you were here,"Sunset by the lake is unreal right now, WYWH.","The sunset by the lake is incredible right now, wish you were here.",grok
Big mad,really angry,She went big mad after I canceled on her last minute.,She got really angry after I canceled on her last minute.,grok
X!,typical woman,"Of course she started the group chat drama, total X! energy.","Of course she started the group chat drama, classic typical woman move.",grok
Moving Target,changing goal,"Their launch date is a moving target, they keep pushing it back.","Their launch date keeps shifting, they keep delaying it.",grok
Sleep Debt,lack of sleep,"I'm crashing hard today, still paying off all that sleep debt from finals.",I'm exhausted today because I'm still catching up on sleep after finals.,grok
Tea,gossip,"Spill the tea already, what really went down at the party?","Come on, tell me the gossip—what actually happened at the party?",grok
Full Send Energy,total effort,She's bringing full send energy to every single practice this week.,She's putting total effort into every single practice this week.,grok
GUD,good,That new playlist you made is straight gud.,That new playlist you made is really good.,grok
Alt Account,secondary account,I only post random memes from my alt account.,I only post random memes from my secondary account.,grok
understood assignment,nailed it completely,She understood the assignment with that whole outfit today.,She completely nailed it with that whole outfit today.,grok
LHSX,let's have sex,He just slid into my DMs with LHSX after dinner.,He just slid into my DMs with let's have sex after dinner.,grok
OOH,out of here,"This lecture is dragging, I'm OOH the second it ends.","This lecture is dragging, I'm out of here the second it ends.",grok
EM,email,Just drop the files in an EM when you get a chance.,Just drop the files in an email when you get a chance.,grok
head empty,"speechless, mind blank","That plot twist had me head empty, like zero thoughts left.","That plot twist left me totally speechless, couldn't think of anything.",grok
QSL,reply,Just QSL when you land so I know you're safe.,Just reply when you land so I know you're safe.,grok
WE,whatever,"You pick the spot for dinner, WE.","You pick the spot for dinner, whatever.",grok
Fast Track,quick success,"He's on Fast Track at that startup, already leading a team.",He's succeeding super quick at that startup and already leading a team.,grok
EYC,excited but chill,"I'm EYC about the concert, hyped but keeping it cool.",I'm excited for the concert but staying pretty chill about it.,grok
GLE,good luck everyone,GLE on the group project presentation tomorrow!,Good luck everyone on the group project presentation tomorrow!,grok
AYEC,as soon as you can,Shoot me the notes AYEC so I can finish the slides.,Send me the notes as soon as you can so I can finish the slides.,grok
Overemployment,working multiple jobs,Overemployment has me booked solid with two remote gigs and freelancing.,Working multiple jobs has me totally booked with two remote roles and freelancing.,grok
D/L,download,Can you D/L that track so we can bump it offline?,Can you download that track so we can play it offline?,grok
Delulu,delusional,She's so delulu thinking he's gonna text first after that.,She's so out of touch thinking he's gonna text first after that.,grok
PM,private message,Just PM me the address when you get a sec.,Just send me a private message with the address when you get a sec.,grok
Rent Due,consequences coming,"You spilled that tea, so rent due when she finds out.","You spilled that secret, so you're gonna deal with it when she finds out.",grok
Based Take,good opinion,Lowkey that was a based take on the whole drama.,Honestly that was a solid take on the whole drama.,grok
NIFOC,naked in front of computer,"He admitted he was NIFOC during the group call, so awkward.","He admitted he was naked at his computer during the group call, so awkward.",grok
Receipts Check,show proof,"Receipts check, drop the screenshots or it didn't happen.","Show the proof, drop the screenshots or it didn't happen.",grok
Close Loop,finish task,I need to close the loop on this project before I dip.,I need to wrap up this project before I leave.,grok
SBIA,standing back in amazement,When she hit that high note I was SBIA the whole time.,When she hit that high note I just stood there in total amazement.,grok
FW,forward,Can you FW me that playlist real quick?,Can you forward me that playlist real quick?,grok
ICEDI,I can't even discuss it,The whole situation with them is ICEDI right now.,I can't even talk about the whole situation with them right now.,grok
QQ,quick question,"QQ, you free to hang later?","Quick question, are you free to hang later?",grok
RTSM,read the stupid manual,If the app keeps crashing just RTSM before you spam me.,If the app keeps crashing just read the stupid manual before you keep messaging me.,grok
URSKTM,you are so kind to me,"Thanks for the ride home, URSKTM!","Thanks for the ride home, you're so kind to me!",grok
NPC Walk,robotic movement,Bro was NPC walking down the street staring at nothing.,Dude was walking robotically down the street staring at nothing.,grok
KOTL,kiss on the lips,She pulled me in for a KOTL after the date.,She pulled me in for a kiss on the lips after the date.,grok
PLU,people like us,"We only vibe with PLU at these events, everyone else is just noise.","We only hang with people like us at these events, everyone else is just noise.",grok
404 Brain,confused or blanking,I got full 404 brain during that quiz and just stared at the page.,I totally blanked during that quiz and just stared at the page.,grok
PTFO,pass out hard,I hit the couch after work and just PTFO for like three hours.,I hit the couch after work and completely passed out for like three hours.,grok
so throwing,really throwing the game,Watch em said Sync was so throwing last round in that Vapor vs Unbound war.,The watchers said Sync was straight-up tanking that last round in the Vapor vs Unbound match.,grok
GRL,girl,My grl just texted that she's running late for the movie.,My girl just texted that she's running late for the movie.,grok
Unhinged,crazy funny,Her story about the failed date was so unhinged I almost fell out of my chair.,Her story about the failed date was so ridiculously funny I almost fell out of my chair.,grok
CSG,chuckle snicker grin,That dry comment in the group chat got a solid CSG out of me.,That dry comment in the group chat made me quietly chuckle.,grok
BTW,by the way,"BTW, you still free to help me move this weekend?","By the way, you still free to help me move this weekend?",grok
Hold This L,accept the loss,"You whiffed that free throw at the buzzer so just hold this L, dude.","You missed that free throw at the buzzer so just accept the loss, man.",grok
Endgame,final stage,We're deep in the endgame of this group project and can't afford any more screw-ups.,We're in the final stage of this group project and can't afford any more screw-ups.,grok
GRATZ,congratulations,"GRATZ on landing that internship, you put in the work!","Congratulations on landing that internship, you put in the work!",grok
Dank Meme,really good meme,She hit me with a dank meme mid-class and I almost snorted out loud.,She sent me a really good meme mid-class and I almost snorted out loud.,grok
Legacy Building,long-term impact,All these free coaching clinics he runs are just legacy building at this point.,All these free coaching clinics he runs are just about making a lasting impact.,grok
OL,wife or girlfriend,I can't commit to the road trip till I clear it with my OL first.,I can't commit to the road trip till I clear it with my wife first.,grok
BOHICA,here it comes again,Another surprise meeting after the last one flopped? Classic BOHICA.,Another surprise meeting after the last one flopped? Here we go again.,grok
TAUMUALU,thinking of you always,I shoot her a TAUMUALU every night before I crash.,I text her thinking about you miss you always love you every night before bed.,grok
Redemption Arc,fix mistakes,He's deep in his redemption arc after that whole drama last semester.,He's really trying to make up for everything that went wrong last semester.,grok
Main Menu,starting point,"Dropped out and moved cities so yeah, I'm back at the main menu.",I dropped out and moved cities so I'm basically starting over now.,grok
Side Hustle,extra income,My side hustle is the only reason I can actually pay rent this month.,My extra job is the only reason I can cover rent this month.,grok
Supporter,positive fan,Big love to every supporter who shows up to my streams.,Huge thanks to every fan who shows up for my streams.,grok
MORF,male or female,Quick MORF before we keep talking?,"Quick question, are you a guy or a girl before we keep talking?",grok
Quick Choice,fast decision,It was a quick choice but I just booked the cheaper flight.,I decided super fast and just booked the cheaper flight.,grok
Win Streak,repeated success,I'm on a crazy win streak with these coding challenges right now.,I've been nailing every coding challenge in a row right now.,grok
Collab,work together,Down to collab on the podcast episode this weekend?,Want to work together on the podcast episode this weekend?,grok
DQMOT,don't quote me,DQMOT but I think she's already seeing someone new.,"Don't take my word for it, but I think she's already seeing someone new.",grok
RTWFQ,read the full question,Bro RTWFQ before you keep asking the same thing in chat.,"Dude, actually read the whole question before you keep asking the same thing.",grok
Cringe,embarrassing awkwardness,His whole speech at the party was pure cringe.,His whole speech at the party was so awkward I wanted to leave.,grok
PVE,player versus enemies,"I'm sticking to PVE tonight, no stress from other players.",I'm just fighting computer enemies tonight so no stress from other people.,grok
Early Bird,person who rises early,"Typical early bird, already out for a run by seven.","Like always, she's already out for a run by seven in the morning.",grok
Fake Deep,acting profound,His stories are just fake deep nonsense about life.,His stories are just empty nonsense trying to sound wise about life.,grok
Open Book,very honest person,"Ask her anything, she's a total open book.","Ask her anything, she always tells you exactly how it is.",grok
KIT,keep in touch,Moving next week so KIT after I settle in.,Moving next week so make sure we stay in touch after I settle in.,grok
H8,hate,Bro I H8 when the WiFi dies mid-game like that.,Man I hate when the WiFi cuts out right in the middle of a game.,grok
Brain Fog,mental confusion,I've got such bad brain fog today I keep forgetting what I was saying.,My head's so cloudy today I keep losing my train of thought.,grok
411,information,Yo hit me with the 411 on that new coffee spot downtown.,Hey fill me in on that new coffee place downtown.,grok
Gassed Up,excited or confident,She left the interview all gassed up and ready to start Monday.,She walked out of the interview feeling super confident and ready for Monday.,grok
Hot Take,controversial opinion,Hot take but the remake was actually better than the original.,Unpopular opinion but the remake was better than the first one.,grok
Low Profile,stay unnoticed,Gonna keep a low profile this weekend after all that drama at the party.,I'm staying out of sight this weekend after everything that went down at the party.,grok
Time Out,break,I need a quick time out before we jump into the next set of problems.,I need a short break before we start the next round of problems.,grok
QSO,conversation,Had a long QSO with my cousin last night about moving cities.,I had a long talk with my cousin last night about relocating.,grok
Head Check,think clearly,I need a head check before I decide if I'm even going out tonight.,I need to clear my thoughts before I decide if I'm even going out tonight.,grok
ADN,any day now,My package is supposed to show up ADN so I'm stuck waiting around.,My package is supposed to show up any day now so I'm stuck waiting around.,grok
ASAP,as soon as possible,"Shoot me the notes ASAP, I gotta cram before the quiz.","Send me the notes right away, I have to study before the quiz.",grok
IOMH,in over my head,I said yes to three clubs and now I'm completely IOMH this semester.,I said yes to three clubs and now I'm completely overwhelmed this semester.,grok
YBS,you'll be sorry,Skip the group project meeting and YBS when we present without you.,Skip the group project meeting and you'll regret it when we present without you.,grok
Periodt,for emphasis,"She's the funniest person in the friend group, periodt.","She's the funniest person in the friend group, no debate.",grok
BookTok,TikTok book community,I only picked up that fantasy series because it was everywhere on BookTok.,I only picked up that fantasy series because it was everywhere in the online book community.,grok
Memory Lane,past moments,Scrolling through our old group chat had me deep on Memory Lane last night.,Scrolling through our old group chat had me lost in the past last night.,grok
KFY,kiss for you,Sending KFY for sticking with me through all that drama.,Sending you a kiss for sticking with me through all that drama.,grok
Instant Reply,quick message,Just shoot me an Instant Reply when you land so I know you're good.,Just send me a quick message when you land so I know you're okay.,grok
LMIRL,meet in real life,"We've been talking forever, we gotta LMIRL this weekend already.","We've been talking forever, we have to meet up in person this weekend.",grok
BOLO,be on the lookout,BOLO for that blue jacket I left at the party last night.,Keep an eye out for that blue jacket I left at the party last night.,grok
NTHING,nothing,I'm doing nthing right now if you wanna swing by.,I'm free right now if you want to come over.,grok
Bet,okay / deal,"You bring the snacks and I'll handle the playlist, bet.","You bring the snacks and I'll handle the playlist, deal.",grok
Locked In,highly focused,I'm locked in on this deadline so I might miss a few texts today.,I'm really focused on this deadline so I might miss a few texts today.,grok
Fresh Chapter,new stage of life,Quitting that job and moving out finally feels like a fresh chapter.,Quitting that job and moving out finally feels like a new stage in my life.,grok
DGYF,dang girl you're fine,She walked past and I whispered DGYF under my breath.,She walked past and I quietly said damn girl you're fine.,grok
0.02,my two cents,Just dropping my 0.02 before everyone else piles on.,Just offering my two cents before everyone else jumps in.,grok
main moment,lucky unexpected turn,Missing the bus turned into a main moment when I met my future boss.,Missing the bus became a lucky break when I met my future boss.,grok
FEITCTAJ,screw them if no jokes,"He got offended by the joke, FEITCTAJ honestly.","He got offended by the joke, screw him if he can't take it.",grok
so era,cute Legacies actress,so era is glowing in season 3 and still close with Ariana.,That cute Legacies actress is glowing this season and still close with Ariana.,grok
Ffs,for goodness sake,Ffs I locked myself out of the car again.,Oh come on I locked myself out of the car again.,grok
Night Owl,stays up late,"Total night owl over here, still awake at 2am scrolling.","I'm a total late-night person, still awake at 2am scrolling.",grok
Ready Mode,fully prepared,Switched into ready mode the second the meeting got rescheduled.,I got fully prepared the second the meeting got rescheduled.,grok
Open Chance,new opportunity,This internship feels like a real open chance for me.,This internship feels like a real new opportunity for me.,grok
Starter Pack,beginner kit,Grabbed the photography starter pack so I can finally learn.,Picked up the beginner photography kit so I can finally learn.,grok
Ping,send a quick message,Just ping me when you get out of class.,Just shoot me a quick message when you get out of class.,grok
Face Card,natural good looks,"Her face card is never declining, even with zero makeup.","She always looks great, even with zero makeup.",grok
Story Time,personal anecdote,"Okay story time, you will not believe what happened at work.","Okay time for a personal story, you will not believe what happened at work.",grok
Quiet Flex,subtle brag,Just a quiet flex but I finished the whole project before lunch.,Not trying to brag but I finished the whole project before lunch.,grok
so tea,extra juicy gossip,Girl this group chat is so tea right now.,Girl this group chat is full of juicy gossip right now.,grok
goofy,silly but chill guy,He's goofy as hell but always down to hang and laugh.,He's a silly goofball but always down to hang and laugh.,grok
MSG,text message,I'll MSG you the address in a sec.,I'll text you the address in a second.,grok
AYTMTB,why tell me this,Your ex is dating again? AYTMTB exactly?,Your ex is dating again? And you're telling me this why?,grok
GAS,got a second,GAS? Need your opinion on this real quick.,Got a second? Need your opinion on this real quick.,grok
CRAFT,can't remember anything,I CRAFT where I put my keys this morning.,I can't remember a thing about where I put my keys this morning.,grok
VSF,very sad expression,When they canceled the concert I had the biggest VSF.,When they canceled the concert I looked so sad.,grok
KISS,keep it simple,For this pitch just KISS and don't overthink the slides.,For this pitch just keep it simple and don't overthink the slides.,grok
Mic Drop,strong final moment,That last line in his speech was a pure mic drop.,That last line in his speech was a perfect strong finish.,grok
CT,can't talk now,"CT rn, boss just walked in.","Can't talk right now, boss just walked in.",grok
Bear Market,falling stock prices,My portfolio is getting crushed in this bear market.,My portfolio is getting crushed while the market keeps dropping.,grok
Brain Freeze,confused,"Hold up, run that by me again, I just got a total brain freeze.","Wait, say that one more time, I'm completely lost right now.",grok
Bussin’,really tasty,"These tacos are bussin’, I’m ordering another round for sure.","These tacos taste incredible, I’m definitely getting more.",grok
FICCL,I don't care,"FICCL if they like my playlist or not, it’s going on.",I couldn’t care less whether they enjoy my playlist.,grok
Trigger Warning,content warning,Quick trigger warning before this clip gets heavy.,Just a heads-up that this video turns intense pretty fast.,grok
random game,free association game,We started random game and I accidentally confessed my crush.,We played that free-association game and I ended up admitting my crush.,grok
Strong Suit,best skill,"Planning parties is my strong suit, leave the guest list to me.","I’m great at party planning, so I’ll handle the guest list.",grok
